Code;Unit
loinc:83071-1;nmol/L (nanomole per litre)
loinc:1743-4;U/L (units per litre)
loinc:30239-8;U/L (units per litre)
loinc:1988-5;mg/L (milligram per litre)
loinc:11557-6;mm Hg (millimeter of mercury)
loinc:2069-3;mmol/L (millimole per litre)
loinc:2075-0;mmol/L (millimole per litre)
loinc:14647-2;mmol/L (millimole per litre)
loinc:14646-4;mmol/L (millimole per litre)
loinc:22748-8;mmol/L (millimole per litre)
loinc:39469-2;mmol/L (millimole per litre)
loinc:69419-0;mmol/L (millimole per litre)
loinc:59826-8;µmol/L (micromol per litre)
loinc:14682-9;µmol/L (micromol per litre)
loinc:788-0;% (percent)
loinc:789-8;T/L (#/L in 10^12 /L)
loinc:62238-1;mL/min (millilitre per minute)
loinc:15074-8;mmol/L (millimole per litre)
loinc:14743-9;mmol/L (millimole per litre)
loinc:14749-6;mmol/L (millimole per litre)
loinc:4544-3;L/L (litre per litre)
loinc:718-7;g/L (gram per litre)
loinc:59261-8;mmol/mol (millimole per mol)
loinc:6301-6;[ratio, no unit]
loinc:20448-7;mU/L (milliunits per litre)
loinc:6690-2;G/L (#/L in 10^9 /L)
loinc:785-6;pg (picogram)
loinc:786-4;g/L (gram per litre)
loinc:787-2;fL (femtolitre)
loinc:11556-8;mm Hg (millimeter of mercury)
loinc:20564-1;% (percent)
loinc:11558-4;[pH]
loinc:32623-1;fL (femtolitre)
loinc:777-3;G/L (#/L in 10^9 /L)
loinc:6298-4;mmol/L (millimole per litre)
loinc:2823-3;mmol/L (millimole per litre)
loinc:5902-2;sec (seconds)
loinc:5894-1;% (percent)
loinc:2947-0;mmol/L (millimole per litre)
loinc:2951-2;mmol/L (millimole per litre)
loinc:14927-8;mmol/L (millimole per litre)
loinc:22664-7;mmol/L (millimole per litre)
loinc:14979-9;sec (seconds)
loinc:1742-6;U/L (units per litre)
loinc:1744-2;U/L (units per litre)
loinc:1920-8;U/L (units per litre)
loinc:68438-1;nmol/L (nanomole per litre)
loinc:88112-8;U/L (units per litre)
swissbioref:hasAgeValue;a (years)
